artist_mbid,country_code
76bee0a6-10fc-416c-a8fd-d9c91ee9642c,NL
614e3804-7d34-41ba-857f-811bad7c2b7a,GB
7bd9e20e-74b9-446a-a2ed-a223f82a36e7,US
7249b899-8db8-43e7-9e6e-22f1e736024e,GB
09b697e3-a849-4670-ae49-e0b821a6271a,US
d6ed7887-a401-47a8-893c-34b967444d26,US
b972f589-fb0e-474e-b64a-803b0364fa75,AT
f59c5520-5f46-4d2c-b2c4-822eabf53419,US
f46bd570-5768-462e-b84c-c7c993bbf47e,US
f2be3d59-c508-492b-a553-056fc8a7e7b0,US
d4659efb-b8eb-4f03-95e9-f69ce35967a9,US
69158f97-4c07-4c4e-baf8-4e4ab1ed666e,GB
e21857d5-3256-4547-afb3-4b6ded592596,
16a99fc7-e323-4d04-81ab-46b09a0cb4eb,GB
34832720-12d3-44b4-bb80-8f06bcfb09ba,US
a395dfdb-791e-4e57-ad3b-99948a162742,IS
db92a151-1ac2-438b-bc43-b82e149ddd50,GB
4f1949ab-fefd-4bf3-9317-814084c29cc0,US
ba0d6274-db14-4ef5-b28d-657ebde1a396,US
ea6b7199-901d-4c0e-8242-6d7bc2bf62b7,US
3414d446-735a-443c-931f-10634f57e5b9,US
3ba68671-e3b5-4263-81dc-76b16b29bbc6,GB
bd1180c4-4252-461f-94dc-543906c02522,US
0ef3f425-9bd2-4216-9dd2-219d2fe90f1f,US
f0602f55-1770-483d-89bd-4bae0d0ac086,US
ba853904-ae25-4ebb-89d6-c44cfbd71bd2,GB
3d2b98e5-556f-4451-a3ff-c50ea18d57cb,US
5700dcd4-c139-4f31-aa3e-6382b9af9032,DE
90c7177f-4be5-413d-aabd-d228934c2b9b,NL
57976431-1a5c-4968-a422-b92c5e9b0d4f,US
f27ec8db-af05-4f36-916e-3d57f91ecf5e,US
2f569e60-0a1b-4fb9-95a4-3dc1525d1aad,US
056e4f3e-d505-4dad-8ec1-d04f521cbb56,FR
b66771cc-45fa-4a32-b14f-5337d7223d7a,US
4d2956d1-a3f7-44bb-9a41-67563e1a0c94,US
7b7b1e6f-e73e-41a0-9d72-8f0b30c6992d,GB
6fe07aa5-fec0-4eca-a456-f29bff451b04,US
f22942a1-6f70-4f48-866e-238cb2308fbd,
678d88b2-87b0-403b-b63d-5da7465aecc3,GB
10a9ff92-9637-4498-afea-7044b2ab0dc0,US
944e1036-8a03-4611-8aa0-31515a05c848,US
5f6ab597-f57a-40da-be9e-adad48708203,US
cfe0dee4-4409-46e3-bbf2-edac88971132,US
cdb1d5d6-a263-4485-b0f7-43d0b76bdaa6,US
18a33653-bbaf-4aa7-884c-73f02a7a4515,US
a0b56eaf-268b-4301-a27c-e7a693223b85,GB
f1d174fc-6bd9-41fe-b4c8-972ab578fb5c,AU
6b627bd0-b839-40c7-b025-7b60c122dfea,US
b614843c-bec3-421f-9af1-03169cdd4b63,
8456e9f7-debf-4579-a86c-33a325a35d2d,US
ec091c5c-cb67-47e7-a2c9-e61ec1afc17a,US
7915b61a-da59-4e4e-83d3-bde7a24bd1ba,US
230ca093-1d00-4c57-9235-147942f66930,GB
7dc8f5bd-9d0b-4087-9f73-dc164950bbd8,US
f98711e5-06f7-43ed-8239-da0f61a9c460,GB
9dcca4a2-2e05-4f94-9a02-cb97b1beed56,US
d2a79d20-1304-47fd-a998-b4fe1ec78373,FR
144ef525-85e9-40c3-8335-02c32d0861f3,US
4a76400d-283f-492e-9754-18ef41755f81,US
d41a6875-b626-4c0f-89a1-aecb643d29ff,GB
b0ca0d85-24a8-4a00-860d-357ff688b69c,US
c60e178f-36f1-4169-9c03-84addbdbf104,US
8ef1df30-ae4f-4dbd-9351-1a32b208a01e,US
c0eee88b-47f2-4cd2-ac48-a045e902a432,US
b7efc324-d12b-40b5-87a8-b67ffb34a91d,PH
