,artist,count,genre
662,Cannibal Corpse,12,death metal
663,Cap Kendricks,6,Hip-Hop
664,Capcom Sound Team,1,video game music
665,Capsule,137,electronic
666,Captain & Tennille,2,pop
667,Captain Sensible,1,new wave
668,Car Seat Headrest,50,Lo-Fi
669,Caracol,1,folk
670,Caramella Girls,20,dance
671,Caravan Palace,46,electro-swing
672,Carbine,2,hardcore
673,Cardi B,178,Hip-Hop
674,Carl Vine,1,contemporary classical
675,Carlos Guastavino,1,Classical
676,Carly Rae Jepsen,3,pop
677,Carly Simon,1,female vocalists
678,Carnage,1,death metal
679,Carnal Decay,1,Brutal Death Metal
680,Carnifex,2,deathcore
681,Caro Emerald,1,jazz
682,Carole King,24,singer-songwriter
683,Carolina Gaitán - La Gaita,6,Soundtrack
684,Caroline Rose,3,seen live
685,Carpainter,8,UK Garage
686,Carpenter Brut,69,synthwave
687,Carpenters,2,pop
688,Carrtoons,1,jazz
689,Carter Ace,1,Hip-Hop
690,Cartoon,1,Progressive rock
691,Cartoons,12,pop
692,Casey Veggies,2,Hip-Hop
693,Cash Cash,17,powerpop
694,Casiio,1,Lo-Fi
695,Casiopea,81,Fusion
696,Casper McFadden,4,breakcore
697,Castelle,3,electronic
698,Catbamboo,1,math rock
699,Catey Shaw,2,pop
700,Cattle Decapitation,5,grindcore
701,Cavetown,1,bedroom pop
702,Cazzette,3,House
703,Celph Titled,3,Hip-Hop
704,Cemetery Drive,3,rap
705,Central Cee,1,rap
706,Cepheid,2,metalcore
707,Cerebral Bore,1,Brutal Death Metal
708,Cero,12,japanese
709,Cha Cha Malone,1,Hip-Hop
710,Chaka Khan,4,soul
711,Chamber of Malice,2,deathcore
712,Chance the Rapper,15,Hip-Hop
713,Chancellor,3,Korean
714,Chancla,1,
715,Change,1,Disco
716,Chappell Roan,1,indie pop
717,Chapter line,2,rock
718,Chaqq,2,rock
719,Charcoal,3,under 2000 listeners
720,Charisma.com,4,japanese
721,Charles Aznavour,1,french
722,Charli XCX,6,pop
723,Charlie Brown Jr.,6,rock
724,Charlie Dore,10,pop
725,Charlie Heat,6,Hip-Hop
726,Charlie Puth,3,pop
727,Charlotte Day Wilson,5,soul
728,Charlotte Sands,1,indie pop
729,Chase Atlantic,4,rnb
730,Chau Sara,1,electronic
731,Chaz Bundick Meets The Mattson 2,1,Psychedelic Rock
732,Che Ecru,1,rnb
733,Cheap Trick,3,classic rock
734,Cheetah,2,hard rock
735,Chelsea Cutler,4,pop
736,Chelsea Lankes,1,pop
737,Cher,1,pop
738,Cher Lloyd,1,pop
739,Cherokee,1,french house
740,Cherry Bullet,13,k-pop
741,Cherry Coke,2,Korean
742,Cherry Vans,1,
743,Chester Watson,1,hip hop
744,Chet Baker,1,jazz
745,Chevelle,1,alternative rock
746,Chevron,2,breakcore
747,Chiaki Sato,1,japanese
748,Chic,1,Disco
749,Chicago,4,classic rock
750,Chief.,15,beats
751,ChiefTaza,1,
752,Chiiild,2,rnb
753,Childish Gambino,97,Hip-Hop
754,Childish Japes,1,rock
755,Chill Children,1,Lo-Fi
756,ChillHop Music,2,chillhop
757,Chimmi,2,k-pop
758,Chinese Football,1,math rock
759,Chinozo,31,japanese
760,Chisom.,1,
761,Chloe x Halle,19,rnb
762,Chlöe Howl,1,pop
763,Chocolate Milk,1,funk
764,Choi HEART,3,Korean
